facebook.com, 157.240.28.35
msn.com, 13.82.28.61
baidu.com, 39.156.69.79
blogspot.com, 172.217.1.201
microsoft.com, 40.76.4.15
qq.com, 111.161.64.48
taobao.com, 140.205.220.96
bing.com, 13.107.21.200
sina.com.cn, 123.126.157.222
soso.com, 118.191.216.42
163.com, 123.58.180.7
ask.com, 199.232.34.114
adobe.com, 193.104.215.58
twitter.com, 104.244.42.1
mozilla.com, 63.245.208.194
youku.com, 106.11.186.25
wikipedia.org, 208.80.154.224
youtube.com, 172.217.1.206
yahoo.com, 98.137.246.8
live.com, 204.79.197.212
sdjjdsaf.com, 198.105.254.23
andysayler.com, 138.197.228.157
wmfo.org, 23.92.21.128
amazon.com, 176.32.98.166
apple.com, 17.142.160.59
hao123.com, 39.156.68.154
windows.com, 104.215.148.63
ebay.com, 66.135.195.175
pps.tv, 101.227.188.176
xunlei.com, 47.98.65.156
56.com, 221.5.34.99
fc2.com, 34.212.55.67
paypal.com, 64.4.250.37
sogou.com, 118.191.216.42
tmall.com, 140.205.94.193
ku6.com, 117.50.1.222
rakuten.co.jp, 133.237.16.234
about.com, 151.101.66.114
orkut.com.br, 132.148.40.250
sohu.com, 220.181.90.52
wordpress.com, 192.0.78.17
tudou.com, 106.11.186.25
yahoo.co.jp, 182.22.59.229
